Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 74.36400256618377, 'train_mae_dbp': 33.01345500638408, 'val_mae_sbp': 15.688591241836548, 'val_mae_dbp': 9.696736097335815}
Saving best model
{'train_mae_sbp': 13.90009606269098, 'train_mae_dbp': 9.604892300021264, 'val_mae_sbp': 12.818888425827026, 'val_mae_dbp': 6.865237236022949}
Saving best model
{'train_mae_sbp': 12.729061372818485, 'train_mae_dbp': 6.8173684304760345, 'val_mae_sbp': 11.965710639953613, 'val_mae_dbp': 6.570565581321716}
{'train_mae_sbp': 12.349458602166944, 'train_mae_dbp': 6.52161027539161, 'val_mae_sbp': 11.811395168304443, 'val_mae_dbp': 6.536467671394348}
{'train_mae_sbp': 12.033520883129489, 'train_mae_dbp': 6.439587516169394, 'val_mae_sbp': 12.015493631362915, 'val_mae_dbp': 6.3999186754226685}
{'train_mae_sbp': 11.889447304510302, 'train_mae_dbp': 6.383074683527792, 'val_mae_sbp': 12.26667857170105, 'val_mae_dbp': 6.54845130443573}
Saving best model
{'train_mae_sbp': 11.851450489413354, 'train_mae_dbp': 6.356245840749433, 'val_mae_sbp': 11.640588760375977, 'val_mae_dbp': 6.361660838127136}
{'train_mae_sbp': 11.735725402832031, 'train_mae_dbp': 6.306652053709953, 'val_mae_sbp': 11.575212478637695, 'val_mae_dbp': 6.422216892242432}
{'train_mae_sbp': 11.700932041291267, 'train_mae_dbp': 6.2234970369646625, 'val_mae_sbp': 11.486289978027344, 'val_mae_dbp': 6.163120269775391}
{'train_mae_sbp': 11.745999059369487, 'train_mae_dbp': 6.177638407676451, 'val_mae_sbp': 11.40730357170105, 'val_mae_dbp': 6.131289601325989}
{'train_mae_sbp': 11.696371201545961, 'train_mae_dbp': 6.197294635157431, 'val_mae_sbp': 11.660352945327759, 'val_mae_dbp': 6.2947927713394165}
{'train_mae_sbp': 11.637580471654092, 'train_mae_dbp': 6.111200947915354, 'val_mae_sbp': 11.6189546585083, 'val_mae_dbp': 6.214441776275635}
Saving best model
{'train_mae_sbp': 11.498952865600586, 'train_mae_dbp': 6.079814880124984, 'val_mae_sbp': 11.273201704025269, 'val_mae_dbp': 6.3998225927352905}
{'train_mae_sbp': 11.611803547028572, 'train_mae_dbp': 6.154795415939823, 'val_mae_sbp': 11.335264205932617, 'val_mae_dbp': 6.170067548751831}
